Project,TopK,GA,PSO,SA,RS,ARM
puppet-openstack-integration,Auto,94.35%,78.32%,81.86%,78.32%,
puppet-openstack-integration,1,75.45%,67.73%,62.73%,65.30%,10.17%
puppet-openstack-integration,3,79.20%,78.22%,70.54%,77.88%,12.38%
puppet-openstack-integration,5,82.82%,80.09%,76.44%,79.65%,13.71%
puppet-openstack-integration,7,87.77%,82.38%,77.33%,80.53%,13.71%
puppet-openstack-integration,10,94.35%,82.82%,80.00%,80.53%,15.04%
puppet-tp,Auto,91.95%,90.80%,98.85%,88.51%,
puppet-tp,1,77.91%,62.65%,37.97%,51.85%,27.58%
puppet-tp,3,91.95%,87.36%,69.05%,75.29%,34.38%
puppet-tp,5,91.95%,87.36%,84.88%,86.05%,36.78%
puppet-tp,7,94.25%,89.66%,94.25%,95.40%,36.78%
puppet-tp,10,95.40%,94.25%,95.40%,95.40%,37.93%
puppet-prometheus,Auto,81.56%,81.07%,87.10%,80.66%,
puppet-prometheus,1,77.18%,73.14%,74.38%,75.21%,8.94%
puppet-prometheus,3,82.52%,83.27%,81.15%,83.13%,9.34%
puppet-prometheus,5,84.27%,85.43%,84.21%,85.31%,9.34%
puppet-prometheus,7,85.94%,86.23%,85.08%,85.77%,9.35%
puppet-prometheus,10,88.45%,88.35%,85.94%,86.23%,9.35%
puppet-icinga2,Auto,84.95%,83.22%,89.77%,83.16%,
puppet-icinga2,1,76.21%,53.79%,59.64%,43.70%,11.03%
puppet-icinga2,3,84.56%,80.41%,73.99%,66.90%,12.37%
puppet-icinga2,5,86.00%,84.00%,81.67%,78.45%,12.71%
puppet-icinga2,7,88.08%,86.67%,85.76%,82.33%,13.04%
puppet-icinga2,10,88.74%,87.71%,87.79%,85.43%,13.04%
puppet-tripleo,Auto,73.88%,67.00%,82.48%,72.16%,
puppet-tripleo,1,70.22%,44.22%,46.80%,38.07%,3.59%
puppet-tripleo,3,76.15%,64.49%,67.00%,59.67%,5.49%
puppet-tripleo,5,78.24%,70.83%,72.89%,71.29%,5.49%
puppet-tripleo,7,79.66%,73.39%,80.69%,73.78%,5.49%
puppet-tripleo,10,81.44%,74.41%,83.90%,74.41%,5.49%
talend-cloud-installer,Auto,63.93%,60.66%,84.62%,49.15%,
talend-cloud-installer,1,40.35%,29.31%,15.38%,29.82%,17.18%
talend-cloud-installer,3,65.57%,55.56%,33.93%,55.00%,20.31%
talend-cloud-installer,5,71.43%,65.08%,54.10%,65.57%,20.31%
talend-cloud-installer,7,75.00%,73.44%,56.45%,69.84%,20.31%
talend-cloud-installer,10,75.00%,75.00%,61.29%,71.43%,20.31%
eyp-systemd,Auto,97.37%,97.37%,97.37%,97.37%,
eyp-systemd,1,94.59%,45.71%,33.33%,27.27%,17.94%
eyp-systemd,3,97.37%,81.08%,75.68%,54.29%,23.07%
eyp-systemd,5,97.37%,100.00%,75.68%,97.37%,23.07%
eyp-systemd,7,97.37%,100.00%,97.37%,100.00%,25.64%
eyp-systemd,10,97.37%,100.00%,97.37%,100.00%,25.64%
control-repo,Auto,79.55%,83.33%,85.71%,80.68%,
control-repo,1,63.64%,58.67%,52.78%,59.74%,0%
control-repo,3,77.91%,82.02%,80.90%,80.90%,0%
control-repo,5,83.33%,85.71%,84.62%,84.62%,0%
control-repo,7,87.10%,88.17%,84.62%,87.10%,0%
control-repo,10,88.17%,90.43%,86.96%,89.36%,0%
puppet-hpc,Auto,78.52%,67.21%,57.39%,73.64%,
puppet-hpc,1,71.65%,47.27%,27.27%,20.83%,14%
puppet-hpc,3,93.20%,72.44%,38.10%,49.56%,18%
puppet-hpc,5,94.63%,76.34%,53.57%,61.67%,18%
puppet-hpc,7,94.63%,77.27%,57.39%,75.38%,18%
puppet-hpc,10,94.63%,79.10%,68.29%,77.27%,18%
secure_windows,Auto,71.43%,67.90%,86.02%,72.94%,
secure_windows,1,63.75%,50.00%,57.14%,45.07%,1.10%
secure_windows,3,74.42%,71.08%,68.67%,69.88%,1.10%
secure_windows,5,79.78%,75.58%,73.26%,79.55%,1.10%
secure_windows,7,84.78%,78.41%,77.01%,83.52%,1.10%
secure_windows,10,88.42%,82.42%,81.11%,86.02%,1.10%
ansible-collection-hardening,1,34.33%,20.97%,19.05%,16.13%,4.05%
ansible-collection-hardening,3,54.79%,44.93%,29.23%,40.30%,6.76%
ansible-collection-hardening,5,62.67%,60.27%,53.52%,66.22%,6.76%
ansible-collection-hardening,7,67.11%,67.53%,61.64%,67.57%,6.76%
ansible-collection-hardening,10,69.74%,71.79%,75.64%,72.37%,6.76%
ansible-collection-hardening,Auto,54.79%,42.03%,71.79%,41.18%,
algo,1,57.50%,58.68%,49.56%,41.67%,9.84%
algo,3,72.52%,71.32%,77.10%,71.54%,14.39%
algo,5,79.39%,76.52%,80.30%,78.79%,15.90%
algo,7,83.46%,78.79%,81.82%,81.20%,17.42%
algo,10,85.71%,80.45%,84.09%,84.21%,19.69%
algo,Auto,74.05%,72.52%,84.09%,71.76%,
ansible-nas,1,73.07%,75.00%,75.52%,69.36%,2.36%
ansible-nas,3,91.72%,87.09%,86.46%,81.43%,4.29%
ansible-nas,5,95.52%,93.32%,90.73%,84.51%,4.29%
ansible-nas,7,97.03%,94.42%,92.89%,89.13%,4.50%
ansible-nas,10,97.68%,96.15%,96.39%,92.27%,4.72%
ansible-nas,Auto,88.38%,89.11%,97.89%,93.03%,
trellis,1,77.78%,67.11%,67.53%,59.72%,27.38%
trellis,3,84.52%,84.52%,80.72%,83.13%,33.33%
trellis,5,85.71%,85.71%,80.72%,85.71%,39.38%
trellis,7,85.71%,85.71%,90.59%,85.71%,40.48%
trellis,10,85.71%,85.71%,90.59%,85.71%,40.48%
trellis,Auto,84.52%,84.52%,88.10%,84.52%,
ansible-hardening,1,67.16%,42.86%,42.86%,37.10%,8.57%
ansible-hardening,3,79.41%,71.64%,71.43%,70.59%,14.28%
ansible-hardening,5,84.29%,81.16%,78.87%,81.16%,17.14%
ansible-hardening,7,84.29%,84.06%,84.72%,84.51%,17.14%
ansible-hardening,10,85.71%,88.89%,87.67%,87.50%,17.14%
ansible-hardening,Auto,77.94%,84.29%,89.04%,82.86%,
attack_range,1,31.82%,10.00%,14.29%,0.00%,0%
attack_range,3,50.00%,27.27%,27.27%,31.82%,1.96%
attack_range,5,64.15%,33.33%,50.00%,39.13%,1.96%
attack_range,7,64.15%,43.75%,56.00%,44.68%,1.96%
attack_range,10,66.04%,47.92%,66.67%,47.92%,1.96%
attack_range,Auto,29.55%,23.26%,73.21%,31.82%,
infra,1,71.43%,50.00%,71.43%,0.00%,1.51%
infra,3,71.43%,87.50%,71.43%,33.33%,1.52%
infra,5,87.50%,100.00%,87.50%,71.43%,1.52%
infra,7,87.50%,100.00%,87.50%,87.50%,1.52%
infra,10,87.50%,100.00%,87.50%,87.50%,1.52%
infra,Auto,71.43%,71.43%,87.50%,71.43%,
iiab,1,44.78%,34.44%,29.02%,27.05%,5.43%
iiab,3,63.21%,54.83%,47.97%,46.91%,9.05%
iiab,5,66.40%,57.76%,54.37%,56.43%,9.86%
iiab,7,68.15%,60.37%,57.94%,59.50%,10.46%
iiab,10,70.86%,62.96%,65.04%,62.70%,14.46%
iiab,Auto,60.33%,47.17%,63.41%,55.58%,
matrix-docker-ansible-deploy,1,59.76%,58.73%,53.06%,56.85%,0%
matrix-docker-ansible-deploy,3,75.00%,70.45%,63.85%,72.18%,0%
matrix-docker-ansible-deploy,5,75.91%,73.61%,67.05%,72.56%,0%
matrix-docker-ansible-deploy,7,75.91%,74.81%,68.42%,73.51%,0%
matrix-docker-ansible-deploy,10,75.91%,75.74%,75.37%,74.91%,0%
matrix-docker-ansible-deploy,Auto,73.80%,65.78%,74.91%,66.29%,
postgresql_cluster,1,70.24%,57.93%,47.71%,45.10%,4.76%
postgresql_cluster,3,91.49%,81.11%,82.12%,77.53%,5.29%
postgresql_cluster,5,94.30%,87.57%,88.17%,89.89%,5.29%
postgresql_cluster,7,95.36%,89.30%,90.48%,91.58%,5.29%
postgresql_cluster,10,95.36%,92.11%,93.19%,92.67%,5.29%
postgresql_cluster,Auto,91.49%,90.96%,95.88%,88.11%,5.29%