instances,source,feature_iac_file_loc,feature_iac_file_churn,feature_iac_file_dependency,feature_nb_files,feature_nb_iac_files,feature_nb_noniac_files,feature_avg_files_per_commit,feature_avg_iac_files_per_commit,feature_avg_noniac_files_per_commit,feature_nb_content_sim_files,feature_nb_path_sim_files,feature_Ratio_out_of_cofiles_developers,feature_Ratio_out_of_all_developers,feature_file_nb_parameters,feature_file_nb_variables,feature_file_avg_play_size,feature_file_avg_task_size,feature_file_num_plays,feature_file_num_tasks,feature_file_num_commands,feature_file_num_blocks,feature_file_num_Distinctmodules,feature_file_num_ExternalModules,feature_file_num_FactModules,feature_file_num_Paths,feature_file_num_Roles,feature_file_num_DeprecatedModules,feature_num_ImportedRoles,feature_num_ImportedPlaybooks,feature_num_ImportedTasks,feature_num_IncludedRoles,feature_num_IncludedVars,feature_num_Includes,feature_num_IncludedTasks,feature_file_num_normalized_resources,feature_Graph_History_std_degree_centrality,feature_Graph_History_network_density,feature_Graph_History_Degree_centrality,feature_Graph_History_betweenness_centrality,feature_Graph_History_closeness_centrality,feature_Graph_ContentSimilarity_std_degree_centrality,feature_Graph_ContentSimilarity_network_density,feature_Graph_ContentSimilarity_Degree_centrality,feature_Graph_ContentSimilarity_betweenness_centrality,feature_Graph_ContentSimilarity_closeness_centrality,feature_Graph_PathSimilarity_std_degree_centrality,feature_Graph_PathSimilarity_network_density,feature_Graph_PathSimilarity_Degree_centrality,feature_Graph_PathSimilarity_betweenness_centrality,feature_Graph_PathSimilarity_closeness_centrality
73,ansible-hardening,164,4,0,31,13,18,3.66,3.75,1.9,1,21,0.11,1,11,5,0,13,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.95,0.07,0.64,0.25,0.87,1.9,0,0.95,0.27,0.97,2.02,0.04,1
74,ansible-hardening,156,14,0,31,13,18,3.67,3.86,1.81,1,21,0.14,6,11,5,0,12,0,11,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.95,0.07,0.64,0.25,0.87,1.9,0,0.95,0.27,0.97,2.02,0.04,1
75,ansible-hardening,249,8,0,12,6,6,4.07,3,2,1,20,0.03,0.14,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.32,0,0.54,0.25,0.87,2,0,0.99,0,1.01,2.02,0,1
76,ansible-hardening,249,4,0,14,6,8,4.12,3.6,2.2,1,22,0.05,0.29,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,0.42,0.05,0.55,0.25,0.87,2,0,0.99,0.27,0.97,2.02,0.04,1
77,ansible-hardening,249,2,0,16,6,10,4.27,5.5,3,1,24,0.04,0.33,33,4,0,13,0,17,4,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0.07,0.34,0.18,0.72,0.11,0.6,0.25,0.87,2,0,0.99,0.36,0.94,2.02,0.07,1
78,ansible-hardening,92,4,0,22,6,16,4.81,3.45,2.7,1,4,0.09,4,19,0,0,4,0,15,5,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0.16,0.36,0.19,0.59,0.04,0.58,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
79,ansible-hardening,440,12,0,31,14,17,2.91,1.89,1.44,1,20,0.1,0.5,54,13,0,11,0,36,10,0,36,0,0,12,0,0,0,0,0,0,0,0,0,0.08,0.36,0.19,0.84,0.01,0.63,0.25,0.87,2.02,0,1,0,1.01,2.02,0,1
80,ansible-hardening,440,4,0,31,14,17,2.91,1.86,1.43,1,20,0.11,0.86,54,13,0,11,0,36,10,0,36,0,0,12,0,0,0,0,0,0,0,0,0,0.08,0.36,0.19,0.84,0.01,0.63,0.25,0.87,2.02,0,1,0,1.01,2.02,0,1
81,ansible-hardening,440,14,0,33,14,19,2.92,2,1.48,1,22,0.12,1,54,13,0,11,0,36,10,0,36,0,0,12,0,0,0,0,0,0,0,0,0,0.08,0.35,0.18,0.89,0.07,0.64,0.25,0.87,2.02,0,1,0.27,0.97,2.02,0.04,1
82,ansible-hardening,456,18,0,35,14,21,2.95,2.43,1.67,1,24,0.12,1.17,58,13,0,11,0,37,10,0,37,0,0,13,0,0,0,0,0,0,0,0,0,0.08,0.34,0.17,1.05,0.13,0.68,0.25,0.87,2.02,0,1,0.36,0.94,2.02,0.07,1
83,ansible-hardening,456,6,0,35,14,21,2.95,2.39,1.68,1,24,0.14,1.6,58,13,0,11,0,37,10,0,37,0,0,13,0,0,0,0,0,0,0,0,0,0.08,0.34,0.17,1.05,0.13,0.68,0.25,0.87,2.02,0,1,0.36,0.94,2.02,0.07,1
84,ansible-hardening,271,2,0,36,17,19,2.92,2,1.56,1,20,0.11,0.13,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.97,0.03,0.66,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
85,ansible-hardening,271,8,0,36,17,19,2.92,1.98,1.55,1,20,0.12,0.23,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.97,0.03,0.66,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
86,ansible-hardening,273,10,0,36,17,19,2.93,2.1,1.51,1,20,0.12,0.86,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.97,0.03,0.66,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
87,ansible-hardening,273,10,0,38,17,21,2.93,2.19,1.55,1,22,0.13,1,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.35,0.18,1,0.08,0.67,0.25,0.87,1.98,0,0.98,0.27,0.97,2.02,0.04,1
88,ansible-hardening,271,2,0,40,17,23,2.95,2.45,1.64,1,24,0.15,1.33,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.34,0.17,1.08,0.13,0.68,0.25,0.87,1.98,0,0.98,0.36,0.94,2.02,0.07,1
89,ansible-hardening,271,2,0,40,17,23,2.96,2.53,1.69,1,24,0.15,1.6,39,6,0,14,0,17,3,1,16,1,0,9,0,0,0,0,0,0,0,0,0,0.07,0.34,0.17,1.08,0.13,0.68,0.25,0.87,1.98,0,0.98,0.36,0.94,2.02,0.07,1
90,ansible-hardening,134,2,0,28,13,15,3.31,2.43,1.71,1,20,0.14,0.23,9,4,0,12,0,8,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.76,0,0.6,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
91,ansible-hardening,137,5,0,28,13,15,3.32,2.73,1.6,1,20,0.13,0.86,9,4,0,13,0,8,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.78,0.01,0.61,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
92,ansible-hardening,137,20,0,30,13,17,3.34,2.94,1.69,1,22,0.16,1,9,4,0,13,0,8,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0.06,0.35,0.18,0.84,0.06,0.62,0.25,0.87,1.96,0,0.97,0.27,0.97,2.02,0.04,1
93,ansible-hardening,68,17,0,4,4,0,3.21,3.5,0,1,19,0.2,0.29,6,3,0,16,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.36,0.19,0.11,0,0.42,0.25,0.87,1.77,0,0.89,0,1.01,2.02,0,1
94,ansible-hardening,68,2,0,4,4,0,3.19,2.67,0.33,1,19,0.17,0.43,6,3,0,16,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.36,0.19,0.14,0,0.5,0.25,0.87,1.77,0,0.89,0,1.01,2.02,0,1
95,ansible-hardening,68,2,0,6,4,2,3.52,5.75,2,2,21,0.1,0.43,6,3,0,16,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.35,0.19,0.58,0.06,0.57,0.25,0.87,1.77,0,0.89,0.27,0.97,2.02,0.04,1
96,ansible-hardening,66,4,0,6,4,2,3.51,5.2,1.6,3,21,0.13,4,6,3,0,16,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.35,0.19,0.58,0.06,0.57,0.25,0.87,1.77,0,0.89,0.27,0.97,2.02,0.04,1
97,ansible-hardening,185,2,0,26,13,13,4.2,2.08,3.38,1,20,0.03,0.14,21,2,0,16,0,10,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0.05,0.36,0.19,0.7,0,0.59,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
98,ansible-hardening,41,4,1,9,7,2,4.96,5,0.67,1,20,0.04,0.14,5,1,0,8,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0.07,0.36,0.19,0.24,0,0.45,0.25,0.87,1.69,0,0.86,0,1.01,2.02,0,1
99,ansible-hardening,149,39,0,29,14,15,3.68,3.38,1.62,1,20,0.04,0.4,20,2,0,15,0,8,2,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0.05,0.36,0.19,0.78,0.01,0.62,0.25,0.87,2,0,0.99,0,1.01,2.02,0,1
100,ansible-hardening,93,2,1,10,7,3,4.42,4,1,1,20,0.04,0.03,9,2,0,12,0,6,1,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0.06,0.36,0.19,0.27,0,0.52,0.25,0.87,1.9,0,0.95,0,1.01,2.02,0,1
101,ansible-hardening,93,20,1,11,7,4,4.42,3.4,1.4,1,21,0.03,0.14,9,2,0,12,0,6,1,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0.06,0.35,0.18,0.29,0.03,0.52,0.25,0.87,1.9,0,0.95,0.19,0.99,2.02,0.02,1
102,ansible-hardening,91,4,1,13,7,6,4.57,5.33,2.33,1,23,0.05,2,9,2,0,12,0,6,1,0,6,0,0,2,0,0,0,0,0,0,0,0,1,0.07,0.35,0.18,0.68,0.08,0.59,0.25,0.87,1.9,0,0.95,0.32,0.95,2.02,0.06,1
103,ansible-hardening,100,24,13,29,19,10,4.31,3.57,1.57,1,21,0.07,0.14,5,3,0,3,0,19,1,0,17,2,0,1,0,0,0,0,12,0,0,0,1,0.19,0.36,0.19,0.78,0.03,0.61,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
104,ansible-hardening,101,7,13,29,19,10,4.31,3.5,1.5,1,21,0.08,0.57,7,3,0,3,0,19,0,0,17,2,0,1,0,0,0,0,12,0,0,0,1,0.19,0.36,0.19,0.78,0.03,0.61,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
105,ansible-hardening,102,1,13,31,19,12,4.31,3.6,1.56,1,23,0.1,0.71,7,3,0,3,0,19,0,0,17,2,0,1,0,0,0,0,12,0,0,0,1,0.19,0.35,0.18,0.82,0.08,0.62,0.25,0.87,1.98,0,0.98,0.27,0.97,2.02,0.04,1
106,ansible-hardening,102,4,13,34,19,15,4.32,3.5,1.73,1,26,0.12,0.86,7,3,0,3,0,19,0,0,17,2,0,1,0,0,0,0,12,0,0,0,1,0.19,0.34,0.17,0.86,0.15,0.63,0.25,0.87,1.98,0,0.98,0.4,0.92,2.02,0.09,1
107,ansible-hardening,102,2,13,34,19,15,4.35,3.93,1.93,1,26,0.12,1,7,3,0,3,0,19,0,0,17,2,0,1,0,0,0,0,12,0,0,0,1,0.19,0.34,0.17,0.89,0.15,0.63,0.25,0.87,1.98,0,0.98,0.4,0.92,2.02,0.09,1
108,ansible-hardening,91,2,0,28,16,12,4.58,4.3,1.8,3,20,0.1,0.14,10,2,0,14,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0.05,0.36,0.19,0.76,0.01,0.6,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
109,ansible-hardening,91,6,0,28,16,12,4.58,4.55,1.64,4,20,0.1,0.57,10,2,0,14,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0.05,0.36,0.19,0.78,0.01,0.61,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
110,ansible-hardening,92,3,0,30,16,14,4.65,5.42,2.08,6,22,0.12,0.71,10,2,0,14,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0.05,0.35,0.18,0.89,0.07,0.63,0.25,0.87,1.92,0,0.95,0.27,0.97,2.02,0.04,1
111,ansible-hardening,92,2,0,30,16,14,4.64,5.23,1.92,6,22,0.14,1.2,10,2,0,14,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0.05,0.35,0.18,0.89,0.07,0.63,0.25,0.87,1.92,0,0.95,0.27,0.97,2.02,0.04,1
112,ansible-hardening,124,8,0,27,15,12,4.19,3.5,1.8,3,20,0.14,0.71,16,2,0,10,0,10,3,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0.08,0.36,0.19,0.73,0.01,0.59,0.25,0.87,1.96,0,0.97,0,1.01,2.02,0,1
113,ansible-hardening,124,2,0,29,15,14,4.26,4.55,2.27,4,22,0.17,1.2,16,2,0,10,0,10,3,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0.08,0.35,0.18,0.89,0.07,0.63,0.25,0.87,1.96,0,0.97,0.27,0.97,2.02,0.04,1
114,ansible-hardening,109,5,0,37,16,21,5.15,3.58,3.33,1,20,0.05,0.15,13,2,0,13,0,7,2,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,1,0.04,0.66,0.25,0.87,1.98,0,0.98,0,1.01,2.02,0,1
115,ansible-hardening,109,2,0,38,16,22,5.14,3.38,3.15,1,21,0.06,0.43,13,2,0,13,0,7,2,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0.06,0.35,0.18,1.01,0.06,0.66,0.25,0.87,1.98,0,0.98,0.19,0.99,2.02,0.02,1
116,ansible-hardening,109,4,0,40,16,24,5.15,3.57,3.14,1,23,0.08,0.57,13,2,0,13,0,7,2,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0.06,0.35,0.18,1.04,0.11,0.67,0.25,0.87,1.98,0,0.98,0.32,0.95,2.02,0.06,1
117,ansible-hardening,109,4,0,42,16,26,5.2,4.33,3.4,1,25,0.08,0.67,13,2,0,13,0,7,2,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0.06,0.34,0.17,1.14,0.17,0.69,0.25,0.87,1.98,0,0.98,0.4,0.92,2.02,0.09,1
118,ansible-hardening,107,2,0,18,12,6,5.96,5.5,1.75,3,20,0.1,0.14,12,3,0,12,0,7,2,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0.07,0.36,0.19,0.49,0.01,0.55,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
119,ansible-hardening,108,3,0,18,12,6,5.97,5.8,1.4,4,20,0.11,0.57,12,3,0,12,0,7,2,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.51,0.01,0.56,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
120,ansible-hardening,108,2,0,18,12,6,5.95,5.33,1.17,5,20,0.12,1,12,3,0,12,0,7,2,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0.06,0.36,0.19,0.51,0.01,0.56,0.25,0.87,1.92,0,0.95,0,1.01,2.02,0,1
121,postgresql-cluster,53,6,0,140,98,42,54.96,75.5,28,1,87,0.05,0.09,16,1,0,10,0,4,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.55,0,0.82,0.37,0.85,1.9,0,0.95,0,1,2.01,0,1
122,postgresql-cluster,81,81,0,110,97,13,55.5,98,13,1,56,0,0,1,3,0,9,0,7,4,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0.11,0.46,0.54,1.22,0,0.72,0.37,0.85,1.79,0,0.9,0,1,2.01,0,1
123,postgresql-cluster,26,26,0,110,97,13,55.5,98,13,1,75,0,0,4,3,0,13,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.22,0,0.72,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
124,postgresql-cluster,138,4,0,144,102,42,18.71,21.25,7.75,1,88,0.1,0.14,24,2,0,10,0,12,0,3,9,3,0,6,0,0,0,0,0,0,0,0,0,0.11,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.94,0,0.97,0,1,2.01,0,1
125,postgresql-cluster,138,2,0,144,102,42,18.72,21.44,7.67,1,88,0.12,0.27,24,2,0,10,0,12,0,3,9,3,0,6,0,0,0,0,0,0,0,0,0,0.11,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.94,0,0.97,0,1,2.01,0,1
126,postgresql-cluster,111,20,0,131,99,32,15.35,18.71,6.43,1,70,0.1,0.14,0,5,0,48,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.04,0.46,0.54,1.45,0,0.78,0.37,0.85,1.85,0,0.93,0,1,2.01,0,1
127,postgresql-cluster,16,16,0,110,97,13,55.5,98,13,2,10,0,0,1,1,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.22,0,0.72,0.37,0.85,1.68,0,0.86,0,1,2.01,0,1
128,postgresql-cluster,201,4,0,144,102,42,9.26,9.95,3.55,4,88,0.23,0.36,33,2,0,12,0,15,0,2,13,2,0,8,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
129,postgresql-cluster,201,6,0,144,102,42,9.27,10.57,3.71,4,88,0.24,0.5,33,2,0,12,0,15,0,2,13,2,0,8,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
130,postgresql-cluster,223,42,0,144,102,42,9.27,10.18,3.55,5,88,0.24,0.5,33,2,0,12,0,15,0,2,13,2,0,8,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
131,postgresql-cluster,171,52,0,144,102,42,9.27,9.83,3.39,5,88,0.24,0.55,28,2,0,14,0,10,0,2,8,2,0,8,0,0,0,0,0,0,0,0,0,0.07,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
132,postgresql-cluster,171,10,0,147,102,45,9.27,9.75,3.5,5,91,0.24,0.55,28,2,0,14,0,10,0,2,8,2,0,8,0,0,0,0,0,0,0,0,0,0.07,0.47,0.53,1.6,0.04,0.83,0.37,0.85,1.92,0,0.96,0.22,0.98,2.01,0.03,1
133,postgresql-cluster,191,58,0,147,102,45,9.28,10.52,3.4,5,91,0.28,0.64,28,2,0,16,0,10,0,2,8,2,0,8,0,0,0,0,0,0,0,0,0,0.06,0.47,0.53,1.6,0.04,0.83,0.37,0.85,1.92,0,0.96,0.22,0.98,2.01,0.03,1
134,postgresql-cluster,68,18,0,140,98,42,54.96,75.5,28,2,54,0.05,0.09,0,4,0,20,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.55,0,0.82,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
135,postgresql-cluster,16,16,0,110,97,13,55.5,98,13,2,52,0,0,1,1,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.22,0,0.72,0.37,0.85,1.75,0,0.89,0,1,2.01,0,1
136,postgresql-cluster,22,2,0,73,39,34,14.73,11.67,7.5,1,88,0.08,0.18,0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.46,0.54,0.81,0,0.63,0.37,0.85,1.72,0,0.87,0,1,2.01,0,1
137,postgresql-cluster,36,2,1,140,98,42,37.62,51.33,18.67,2,31,0.05,0.09,3,1,0,7,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0.11,0.46,0.54,1.55,0,0.82,0.37,0.85,1.83,0,0.92,0,1,2.01,0,1
138,postgresql-cluster,140,20,1,135,99,36,9.54,10.36,4.14,1,88,0.14,0.21,2,6,0,19,0,6,0,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0.07,0.46,0.54,1.49,0.01,0.8,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
139,postgresql-cluster,142,2,1,135,99,36,9.55,10.56,4.06,1,88,0.21,0.45,2,6,0,19,0,6,0,4,2,4,0,0,0,0,0,0,1,0,0,0,0,0.07,0.46,0.54,1.49,0.01,0.8,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
140,postgresql-cluster,185,43,2,135,99,36,9.56,11.65,3.88,1,88,0.25,0.55,2,6,0,19,0,8,0,5,3,5,0,0,0,0,0,0,2,0,0,0,0,0.07,0.46,0.54,1.49,0.01,0.8,0.37,0.85,1.92,0,0.96,0,1,2.01,0,1
141,postgresql-cluster,27,27,3,110,97,13,55.5,98,13,1,75,0,0,1,0,0,6,0,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0.15,0.46,0.54,1.22,0,0.72,0.37,0.85,1.78,0,0.9,0,1,2.01,0,1
142,postgresql-cluster,41,14,5,113,97,16,55.13,53,9.5,1,78,0.06,0.09,1,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0.15,0.47,0.53,1.24,0.03,0.72,0.37,0.85,1.78,0,0.9,0.22,0.98,2.01,0.03,1
143,postgresql-cluster,172,16,0,144,102,42,11.45,11.81,4.94,1,69,0.05,0.07,0,4,0,72,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.02,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.91,0,0.95,0,1,2.01,0,1
144,postgresql-cluster,204,32,0,144,102,42,11.46,12.47,5.06,1,69,0.08,0.17,0,4,0,58,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.03,0.46,0.54,1.59,0.01,0.83,0.37,0.85,1.91,0,0.95,0,1,2.01,0,1
145,postgresql-cluster,148,28,0,126,102,24,14.28,18.62,4.38,2,88,0.18,0.14,8,9,0,15,0,8,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.39,0,0.77,0.37,0.85,1.91,0,0.95,0,1,2.01,0,1
146,postgresql-cluster,166,18,0,126,102,24,14.3,19.11,4.67,5,88,0.19,0.25,10,10,0,15,0,9,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.39,0,0.77,0.37,0.85,1.91,0,0.95,0,1,2.01,0,1
147,postgresql-cluster,46,4,0,140,98,42,54.96,75.5,28,2,87,0.05,0.09,11,0,0,14,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0.07,0.46,0.54,1.55,0,0.82,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
148,postgresql-cluster,5,4,0,118,98,20,47.06,63.5,17,2,18,0.05,0.09,2,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.46,0.54,1.3,0.01,0.74,0.37,0.85,1.62,0,0.84,0,1,2.01,0,1
149,postgresql-cluster,35,35,0,110,97,13,55.5,98,13,1,50,0,0,9,2,0,8,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.46,0.54,1.22,0,0.72,0.37,0.85,1.82,0,0.91,0,1,2.01,0,1
150,postgresql-cluster,98,4,0,140,98,42,19.15,25.83,9.5,1,87,0.07,0.07,14,3,0,18,0,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.55,0,0.82,0.37,0.85,1.93,0,0.96,0,1,2.01,0,1
151,postgresql-cluster,98,2,0,140,98,42,19.16,25.43,9.14,1,87,0.1,0.18,14,3,0,18,0,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.55,0,0.82,0.37,0.85,1.93,0,0.96,0,1,2.01,0,1
152,postgresql-cluster,98,4,0,140,98,42,19.14,22.5,8.38,1,87,0.14,0.27,14,3,0,18,0,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.55,0,0.82,0.37,0.85,1.93,0,0.96,0,1,2.01,0,1
153,postgresql-cluster,11,2,0,46,32,14,41.25,40,15,1,88,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09,0.46,0.54,0.51,0,0.57,0.37,0.85,1.73,0,0.88,0,1,2.01,0,1
154,postgresql-cluster,58,58,0,110,97,13,55.5,98,13,1,44,0,0,1,2,0,16,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.09,0.46,0.54,1.22,0,0.72,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
155,postgresql-cluster,62,6,0,110,97,13,54.56,33.33,5,1,44,0.07,0.07,1,2,0,17,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.23,0,0.72,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
156,postgresql-cluster,62,4,0,110,97,13,54.1,25.25,4,1,44,0.1,0.18,1,2,0,17,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.08,0.46,0.54,1.24,0,0.72,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
157,postgresql-cluster,67,15,0,110,97,13,53.9,26,3.4,1,44,0.14,0.27,0,2,0,28,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.06,0.46,0.54,1.24,0,0.72,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
158,postgresql-cluster,104,2,0,140,98,42,54.96,75.5,28,1,87,0.05,0.09,6,7,0,16,0,6,0,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0.1,0.46,0.54,1.55,0,0.82,0.37,0.85,1.89,0,0.95,0,1,2.01,0,1
