Project_Name,Top,GA,GA_HIST,GA_SIM
puppet-openstack-integration,auto,0.56,0.55,0.52
puppet-openstack-integration,1,0.75,0.69,0.69
puppet-openstack-integration,3,0.55,0.56,0.51
puppet-openstack-integration,5,0.55,0.53,0.52
puppet-openstack-integration,7,0.54,0.52,0.51
puppet-openstack-integration,10,0.52,0.49,0.51
puppet-tp,auto,0.55,0.56,0.4
puppet-tp,1,0.78,0.78,0.49
puppet-tp,3,0.57,0.6,0.41
puppet-tp,5,0.49,0.53,0.39
puppet-tp,7,0.45,0.45,0.36
puppet-tp,10,0.38,0.34,0.33
puppet-prometheus,auto,0.69,0.64,0.66
puppet-prometheus,1,0.77,0.72,0.71
puppet-prometheus,3,0.68,0.64,0.67
puppet-prometheus,5,0.67,0.63,0.65
puppet-prometheus,7,0.67,0.62,0.65
puppet-prometheus,10,0.65,0.59,0.64
puppet-icinga2,auto,0.55,0.51,0.54
puppet-icinga2,1,0.76,0.65,0.68
puppet-icinga2,3,0.56,0.51,0.53
puppet-icinga2,5,0.51,0.46,0.5
puppet-icinga2,7,0.46,0.43,0.46
puppet-icinga2,10,0.41,0.38,0.41
puppet-tripleo,auto,0.43,0.35,0.42
puppet-tripleo,1,0.7,0.59,0.64
puppet-tripleo,3,0.49,0.38,0.47
puppet-tripleo,5,0.4,0.32,0.39
puppet-tripleo,7,0.32,0.26,0.31
puppet-tripleo,10,0.24,0.19,0.23
talend-cloud-installer,auto,0.28,0.36,0.1
talend-cloud-installer,1,0.4,0.5,0.13
talend-cloud-installer,3,0.27,0.37,0.11
talend-cloud-installer,5,0.19,0.29,0.11
talend-cloud-installer,7,0.16,0.25,0.1
talend-cloud-installer,10,0.13,0.19,0.08
eyp-systemd,auto,0.52,0.49,0.42
eyp-systemd,1,0.95,0.79,0.6
eyp-systemd,3,0.54,0.51,0.42
eyp-systemd,5,0.41,0.4,0.37
eyp-systemd,7,0.33,0.32,0.3
eyp-systemd,10,0.25,0.23,0.22
control-repo,auto,0.46,0.27,0.48
control-repo,1,0.64,0.07,0.58
control-repo,3,0.47,0.28,0.5
control-repo,5,0.49,0.22,0.46
control-repo,7,0.44,0.24,0.45
control-repo,10,0.43,0.23,0.41
puppet-hpc,auto,0.26,0.31,0.22
puppet-hpc,1,0.72,0.67,0.58
puppet-hpc,3,0.43,0.42,0.35
puppet-hpc,5,0.27,0.28,0.21
puppet-hpc,7,0.19,0.2,0.15
puppet-hpc,10,0.14,0.14,0.11
secure_windows,auto,0.43,0.35,0.41
secure_windows,1,0.64,0.33,0.59
secure_windows,3,0.5,0.36,0.49
secure_windows,5,0.41,0.33,0.4
secure_windows,7,0.31,0.28,0.31
secure_windows,10,0.24,0.22,0.23
postgresql_cluster,auto,0.51,0.27,0.48
postgresql_cluster,1,0.7,0.34,0.69
postgresql_cluster,3,0.53,0.29,0.5
postgresql_cluster,5,0.46,0.25,0.44
postgresql_cluster,7,0.41,0.23,0.39
postgresql_cluster,10,0.33,0.22,0.33
ansible-collection-hardening,auto,0.22,0.16,0.24
ansible-collection-hardening,1,0.34,0.25,0.35
ansible-collection-hardening,3,0.23,0.17,0.23
ansible-collection-hardening,5,0.19,0.15,0.21
ansible-collection-hardening,7,0.17,0.14,0.19
ansible-collection-hardening,10,0.14,0.12,0.15
algo,auto,0.43,0.41,0.41
algo,1,0.58,0.58,0.55
algo,3,0.42,0.4,0.41
algo,5,0.41,0.4,0.4
algo,7,0.41,0.4,0.39
algo,10,0.39,0.38,0.38
ansible-nas,auto,0.65,0.39,0.64
ansible-nas,1,0.73,0.48,0.71
ansible-nas,3,0.65,0.4,0.65
ansible-nas,5,0.64,0.39,0.64
ansible-nas,7,0.63,0.37,0.63
ansible-nas,10,0.62,0.34,0.63
trellis,auto,0.65,0.53,0.66
trellis,1,0.78,0.64,0.78
trellis,3,0.64,0.53,0.66
trellis,5,0.6,0.5,0.63
trellis,7,0.58,0.48,0.62
trellis,10,0.56,0.44,0.58
ansible-hardening,auto,0.42,0.34,0.43
ansible-hardening,1,0.67,0.55,0.64
ansible-hardening,3,0.44,0.36,0.46
ansible-hardening,5,0.39,0.33,0.39
ansible-hardening,7,0.37,0.31,0.36
ansible-hardening,10,0.35,0.26,0.33
attack_range,auto,0.08,0.07,0.13
attack_range,1,0.32,0.05,0.28
attack_range,3,0.16,0.08,0.14
attack_range,5,0.13,0.07,0.11
attack_range,7,0.09,0.07,0.08
attack_range,10,0.07,0.06,0.06
infra,auto,0.43,0.33,0.33
infra,1,0.71,0.71,0.71
infra,3,0.43,0.33,0.43
infra,5,0.41,0.29,0.29
infra,7,0.29,0.24,0.21
infra,10,0.21,0.19,0.14
iiab,auto,0.3,0.24,0.25
iiab,1,0.45,0.41,0.35
iiab,3,0.31,0.27,0.26
iiab,5,0.29,0.23,0.25
iiab,7,0.26,0.2,0.24
iiab,10,0.21,0.16,0.2
matrix-docker-ansible-deploy,auto,0.56,0.54,0.51
matrix-docker-ansible-deploy,1,0.6,0.63,0.56
matrix-docker-ansible-deploy,3,0.57,0.55,0.52
matrix-docker-ansible-deploy,5,0.55,0.54,0.5
matrix-docker-ansible-deploy,7,0.53,0.51,0.49
matrix-docker-ansible-deploy,10,0.5,0.46,0.46